Title,Job Position,Location,Founded,Employees,About,Skills,Link
Nimbbl,Software Engineer,Mumbai,Founded in 2020,10 - 50 employees,"Surfacing credit at the right place at the right time in the right form factor to create the most compelling customer experience is what Nimbbl is solving. We bring a single optimised integration providing access to all major payment methods, pay laters and multiple payment service providers, all in one place. Our payments solution caters to businesses of all sizes, payment aggregators, financial institutes/banks, pay later providers and more.

Nimbbl is founded by Amit Bansal and Anurag Pandey. Both of them are seasoned payments and fintech professionals and have worked in sales and product leadership roles respectively at India's top fintech companies.","Python
Django
Data Structures
Algorithms
Flask",https://www.instahyre.com/job-322300-software-engineer-at-nimbbl-mumbai/
Nielsen,Senior Data Scientist,Bangalore,Founded in 1923,More than 1000 employees,"Nielsen Holdings plc (NYSE: NLSN) is a global measurement and data analytics company that provides the most complete and trusted view available of consumers and markets worldwide. Our approach marries proprietary Nielsen data with other data sources to help clients around the world understand what's happening now, what's happening next, and how to best act on this knowledge.

For more than 90 years Nielsen has provided data and analytics based on scientific rigour and innovation, continually developing new ways to answer the most important questions facing the media, advertising, retail and fast-moving consumer goods industries. An S&P; 500 company, Nielsen has operations in over 100 countries, covering more than 90% of the world's population.","Python
SQL
Statistical Modelling
AWS
Tableau",https://www.instahyre.com/job-328802-senior-data-scientist-at-nielsen-bangalore/
Out of the Blue,Sr. Business Analyst,Bangalore,Founded in 2020,0 - 10 employees,"Out of the Blue is an AI-driven insights platform that helps identify patterns in the data that are affecting KPIs and metrics. It raises alerts to material metric movement (behavior changes) that help organizations take corrective actions in time. This frees up analysts and enables them to focus on running business. Think of us as insurance that machine intelligence is watching over your business. We want to help create the intelligence once promised and never delivered in Business Intelligence software. In short, our mission is to help data-driven professionals leapfrog the grunt-work of tedious, repetitive, and incomplete data explorations to answer the fundamental what and why questions that animate organizations.

The seasoned founding team at Out of the Blue has lived experiences working at companies like Google, eBay and PayPal and degrees from Stanford, Berkeley, and Booth. Backed by premier Silicon Valley VCs, we're re-imagining how teams wield data to drive decisions. We want to automate away the boring parts of analytics and put the intelligence back into Business Intelligence.","Python
SQL
Tableau",https://www.instahyre.com/job-327097-sr-business-analyst-at-out-of-the-blue-bangalore/
Frammer AI,Python Developer,Delhi,Founded in 2023,0 - 10 employees,"Frammer AI is a media SaaS platform that uses AI to convert long-form video into monetizable shorts in one click. Frammer instantly shortens all videos into highly discoverable and monetizable content. With just one click, anyone can convert long-form videos into monetizable shorts, featuring auto-transcription, auto-captioning, auto-flip from landscape to portrait, text-based video editing, searchable and actionable archives, chapter generation by topic, and the creation of key moments, reels-(-90 secs), and shorts (60 seconds).","Django
Flask
Python",https://www.instahyre.com/job-314820-python-developer-at-frammer-ai-delhi/
Blackstraw.ai,Senior Data Scientist,Mumbai,Founded in 2018,10 - 50 employees,"We are a group of experts that have led several real world AI implementations. We understand the pain of automatic decision making and still maintaining high level of ac-curacies. Through our leanings on trickiest of implementations we at Blackstraw have built a Platform Approach to AI Implementation.

With 100+ years of combined work-experience, the Blackstraw Team comprises of various experts in AI technologies.A fast-moving team that prides itself in quickly identifying different use-cases and fine-tuning our products to suit specific business needs.","Computer Vision
Image Processing
PyTorch
Python
Machine Learning",https://www.instahyre.com/job-324081-senior-data-scientist-at-blackstraw-mumbai/
Bounce (Metro Bikes),Data Engineer,Bangalore,Founded in 2014,500 - 1000 employees,"Bounce (formerly known as Metro Bikes) is India's first smart mobility solution, with a mission of making daily commute stress-free, time-saving, reliable and convenient. Here's how easy it is to bounce Book a ride on the app Pick up the bike enter the OTP, Ride to the destination and move on With a breakthrough technology that lets users access the bike with just an OTP, our state-of-the-art Keyless bikes, have not only done away with keys, but the whole process of renting a bike has just become devoid of any physical or human intervention.

There's more than just this, to why we do what we do! We love the idea of being able to help bring people back to doing things that they love, like the ever-elusive guitar lessons or the family dinner at the dining table, by saving them the time that they spend on commuting.

With the keyless bikes, we are taking on the problems around commute, one city at a time. With a team of super-passionate people and some great ideas, we are riding towards becoming the most preferred mode of commute and changing the way people commute.","Python
CI - CD
Scala
Kafka
Hadoop",https://www.instahyre.com/job-328305-data-engineer-at-bounce-metro-bikes-bangalore/
Gumlet,Lead Software Engineer,Work From Home,Founded in 2019,10 - 50 employees,"Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline. As the internet becomes increasingly global and data-hungry, serving images and video in a high-performance, low-latency environment is considered table-stakes for all websites to earn customer trust. Developers worldwide use Gumlet to automatically provide the lowest size images and videos with the best resolution and performance.

Media files such as images, GIFs, videos, and animations are integral to all digital interactions and experiences today. Yet, current solutions for managing and publishing media files typically rely on archaic APIs that require deep integration, domain knowledge, and constant maintenance. Today's med processing is messy and complicated, involving various formats, device sizes, and platforms.

With Gumlet, developers never have to worry about managing different versions and sizes of media files again. Once integrated, previous, new and upcoming images are all automatically optimised for all users. Gumlet takes over resize, compression, format conversion, transcoding, streaming, delivery, and analytics for all media files.

Due to the automation Gumlet provides, developers experience 30% to 50% better optimisation without affecting quality. This helps online businesses to provide better UX, load pages faster, save cloud costs and improve SEO.

Gumlet currently serves more than 6,000 customers, including online stores, news sites, blogs, EdTech startups, travel sites, and crowdfunding portals. Over four billion media files are delivered every week via Gumlet.

Gumlet was founded in 2019 in Singapore by Aditya Patadia & Divyesh Patel, who previously built, scaled, and successfully exited from turing analytics, a pioneering AI startup in the visual search space. Aditya is also the creator of a very popular open-source image resize library in PHP language, which he launched in 2012","Web Scraping
React.js
Selenium
Django
Python",https://www.instahyre.com/job-325842-lead-software-engineer-at-gumlet-work-from-home/
NStarX,Python Developer,Hyderabad,Founded in 2014,50 - 200 employees,"NStarX (earlier Abhra Inc) is a full-fledged global IT solutions company with more than 10 years of experience in helping startups and SMB clients build cutting-edge SaaS products and platforms for the global market. We have a track record of success in building SaaS solutions for clients that were later acquired by publicly listed companies as well as a recent successful exit from a leading SaaS practice built over 5 years. Our mission is to become a recognized leader in maximizing the value of cloud platforms for our clients.

Technological innovation is the only way an organization can stay relevant in the current market the world over. Our business model revolves around providing viable cloud-based technical solutions based on the needs of the client. We design cutting-edge applications that can be customized to suit individual client requirements. Our mainstay focus is on the development and implementation of as-a-service, cloud platforms, mobile platforms for both iOS and Android, and e-commerce platforms.","Python
Django
Flask",https://www.instahyre.com/job-314553-python-developer-at-nstarx-hyderabad/
Cubera,Full Stack Developer,Bangalore,Founded in 2020,10 - 50 employees,"Cubera is a data company revolutionizing ad-tech and big data analytics through data share value principles where the users entrust their data to us. We refine the art of understanding, processing, extracting, and evaluating the data that is entrusted to us. We are a gateway for brands to increase their lead efficiency as the world moves toward web3 We are delivering trust by practicing transparency, innovation, and most importantly empathy. We understand the need of democratizing the data we all produce daily. The deployment of services on the same data also allows us to tap into the intricacies of the data sets we receive. We empower the customer as well as the advertisers with the data we receive.","Next.js
Python
Django
Docker
Flask",https://www.instahyre.com/job-324925-full-stack-developer-at-cubera-bangalore/
Ola,DevOps Engineer,Work From Home,Founded in 2011,More than 1000 employees,"Ola, India's most popular mobile app for transportation, integrates city transportation for customers and driver partners onto a mobile technology platform. As one of India's fastest growing companies we ensure convenient, transparent and quick service fulfilment using technology to make transportation hassle free for everyone.

Ola's offerings on its platform ranges from affordable AC cabs on the Ola Micro range, to the superior luxury offering from Ola Lux, as well as localized offerings like the ubiquitous Auto-rickshaws, to Shuttle buses for daily commute. Using the Ola mobile app, users across 110 cities can conveniently book from over 8,00,000 vehicles available to them.

We've empowered hundreds of thousands of driver-partners as entrepreneurs, by building an ecosystem encompassing financing institutions, car manufacturers, service providers etc. for drivers to grow professionally and personally as well as a consistent earning opportunity for them on the Ola platform.","AWS
Terraform
Python",https://www.instahyre.com/job-305363-devops-engineer-at-ola-3-work-from-home/
Metron Security,Software Engineer,Pune,Founded in 2010,50 - 200 employees,"Metron Security provides on-demand and effective approaches to managing third-party integrations for security ecosystems. Since 2014 Metron has delivered automation solutions for over 150 security applications along with several hundred custom automation solutions.

Metron's is trusted by many of the world's fastest-growing security companies and managed security service providers (MSSPs) owing to their transparent development processes, their expertise in understanding security products, and their fixed-cost model. Clients have experienced shorter development times and 2x-3x cost savings compared to deploying internal engineering teams for the same tasks.

Metron Security is headquartered in Novato, CA with development offices in Bangalore and Pune, India. Some of the scalable automation solutions we have built include custom middleware to ingest various types of security events; Integration Lab; Custom playbooks for leading SOAR, building Security Data lake in leading platforms; and malware labs for security researchers.","C++
Java
JavaScript
Python",https://www.instahyre.com/job-328820-software-engineer-at-metron-security-pune/
Astuto,Senior Backend Developer,Bangalore,Founded in 2023,10 - 50 employees,"We are a Cloud FinOps startup focused on helping businesses save Cloud costs, avoid waste, improve efficiency, and optimize their RoI on Cloud Spend.
Our vision is to build OneLens as one of the industry-leading Cloud FinOps platforms.
We have the backing of a global institutional investor and raised pre-seed funding.","Python
Django",https://www.instahyre.com/job-327805-senior-backend-developer-at-astuto-bangalore/
Frammer AI,Senior Python Developer,Delhi,Founded in 2023,0 - 10 employees,"Frammer AI is a media SaaS platform that uses AI to convert long-form video into monetizable shorts in one click. Frammer instantly shortens all videos into highly discoverable and monetizable content. With just one click, anyone can convert long-form videos into monetizable shorts, featuring auto-transcription, auto-captioning, auto-flip from landscape to portrait, text-based video editing, searchable and actionable archives, chapter generation by topic, and the creation of key moments, reels-(-90 secs), and shorts (60 seconds).",Python,https://www.instahyre.com/job-325350-senior-python-developer-at-frammer-ai-delhi/
Simplotel,Engineering Manager,Bangalore,Founded in 2013,50 - 200 employees,"Simplotel is a Bangalore based, Software-as-a-Service (SaaS) company helping over 2,000 hotels across 21 countries grow their direct business. We are powering e-commerce for some of the largest hotels in India. The name Simplotel comes from a combination of Simple and Hotel - our mission is to Simplify the life of hoteliers through technology. Simplotel is a Shopify for Hotels', was founded in October 2013 and is funded by Go-MMT - India's largest Online Travel Agency.

Simplotel was awarded the best startup in travel & hospitality for 2021 by Startup India, an initiative of the Union Ministry of Commerce & Industry in India. (https://www.startupindia.gov.in/nsa2021results/travel.html)","React.js
Python
JavaScript
Node.js
Django",https://www.instahyre.com/job-326990-engineering-manager-at-simplotel-bangalore/
Ripplr,Software Developer 2,Bangalore,Founded in 2019,50 - 200 employees,"Ripplr is a new B2B Logistics, Distribution Start-up with tech enabled solutions such as Artificial Intelligence (AI), IOT (Internet-of-Things) & ML for its customers.

Ripplr provides a complete package of Logistics, Distribution and Retail ecosystem solutions with complete visibility of the product in different phases of the logistics and retail eco-system. We specialise in First Mile / Middle Mile & Last Mile Intracity operations with Intelligent hubs based across the cities.

Ripplr is led by a team of professionals who collectively have 100 plus years of experience in the field of Retail, Logistics, Supply Chain Management, IOT & Big Data.","Data Structures
Algorithms
Python
SQL",https://www.instahyre.com/job-328353-software-developer-2-at-ripplr-bangalore/
Osfin.ai,Backend Engineer,Bangalore,Founded in 2021,50 - 200 employees,"Osfin.ai is a fin-ops platform that helps firms manage critical financial data and enable finance operations such as reconciliation, commission calculations, and payout delivery. Osfin.ai also enables seamless reporting through its intuitive dashboards, helping businesses track and manage cash flows easily. We enable our customers across industries to become operationally efficient and audit-ready.","Golang
Node.js
Data Structures
Java
Python",https://www.instahyre.com/job-317380-backend-engineer-at-osfin-bangalore/
Alle,Backend Developer,Bangalore,Founded in 2023,0 - 10 employees,"Alle is a tech company that offers a magical experience of the total organization. With Alle, every piece of information in a screenshot becomes searchable and linked automatically, enabling unforgettable discoveries and endless possibilities. With Alle, there are no more lost ideas in the digital abyss. Our advanced search transforms a screenshot into a dynamic knowledge repository, accessible at one's fingertips as every detail, and every URL within the screenshots becomes an actionable link. All. e then automatically tags and organize the screenshots into smart categories, to help focus on what truly matters - unleashing creativity and achieving goals.","Golang
Data Structures
Machine Learning
Java
Python",https://www.instahyre.com/job-285469-backend-developer-at-alle-bangalore/
MSD Technologies,Full Stack Developer,Mumbai,Founded in 2012,10 - 50 employees,"MSD Technologies is a leading engineering services and technical solution provider for India and overseas HVACR Industry to find the right product employing cutting edge technologies. Our unique model also helps in providing consultancy in facilitating product certifications to the Indian and overseas market as per the needs of diverse industry verticals.

We are a group of HVAC professionals with over 15 years of experience and came into existence with a pioneering vision of Bringing Industry and Technology Together.

Since Inception, the company is professionally managed with a team of dedicated professionals with comprehensive engineering skills. At present, the company has sufficient resources, experience and know-how to take project ownership irrespective of any dimension and level of complexity.

The consistently progressive performance of the company is attributed to the strong principles - integrity, reliability, quality and commitment. Owning to our philosophy to continuously improve, Our expertise are committed to seamlessly deliver results, in-depth knowledge of not only the Indian HVACR industry but also associated government bodies, associations and referral groups.","Python
FastAPI
Node.js
React.js
AWS",https://www.instahyre.com/job-328729-full-stack-developer-at-msd-technologies-mumbai/
Roku,Sr. Data Privacy Engineer,Bangalore,Founded in 2002,More than 1000 employees,"Founded by Anthony Wood, Roku pioneered streaming to the TV. Our mission is to be the streaming platform that connects and benefits the entire TV ecosystem around the world. Today, Roku streaming devices are used by millions of consumers in North America, Latin America, and parts of Europe. We connect users to the streaming content they love, we enable content publishers to build and monetize large audiences, and we provide advertisers with sophisticated tools to reach and engage consumers. Roku is the No. 1 TV streaming platform in the U. S., Canada, and Mexico by hours streamed (Hypothesis Group, December 2022).

We've set our sights on powering every television in the world. Roku pioneered streaming to the TV. Our mission is to be the TV streaming platform that connects the entire TV ecosystem. Our Roku-branded TVs, Roku TV models, Smart Home system, streaming players, audio equipment, and the purpose-built operating system that powers it all can turn any home into a home theater, with seamless integration of hardware and software. Our commitment to our users extends to our brand studio, which creates innovative Roku Originals exclusively for The Roku Channel, a free channel that reaches approximately 80 million households in the U. S. and Mexico.","Data Governance
Spark
Kafka
Python
Flink",https://www.instahyre.com/job-320379-sr-data-privacy-engineer-at-roku-bangalore/
Obviously AI,Backend Engineer,Bangalore,Founded in 2020,10 - 50 employees,"We believe that making machine learning accessible represents our greatest opportunity to empower the lives of everyday business users. That's why we have built a tool that enables non-technical business analysts to rapidly run predictions on their historical data, with just a few clicks. Allowing them to make better business decisions, fast. This includes predicting churn, lead conversion, loan repayment, fraud, predicting sales, dynamic pricing, yield, deal size, costs, etc. We are Obviously AI, a B2B predictive analytics startup based in San Francisco, CA.

We are a team of data scientists from the world's top institutions, creative wizards that have built household-name products, and second-time founders coming along to make machine learning effortless.","Python
Django
PHP
Laravel
AWS",https://www.instahyre.com/job-322443-backend-engineer-at-obviously-ai-bangalore/
Indium Software,Data Analyst,Hyderabad,Founded in 1999,More than 1000 employees,"Indium Software is a leading provider of Digital Engineering Solutions. We make technology work for our clients driving measurable business value. We provide services across Application Engineering, Data and Analytics, Cloud Engineering, Digital Assurance and Low Code Development, and are functioning with an enthusiastic workforce of 3000+ associates across India. Indium's Digital Engineering Expertise is now recognized by ISG as a Strong Contender for Data Science Services, Data Engineering Services and Data Life Cycle Management Services. We have our presence in the market for over 23 years, and our plan for hyper growth opens job opportunities across various levels and streams.","Python
R
SAS
SQL
Tableau
NumPy
pandas",https://www.instahyre.com/job-328011-data-analyst-at-indium-software-hyderabad/
Tessell,Principal Cloud Engineer,Bangalore,Founded in 2021,10 - 50 employees,"Tessell delivers highly differentiated DBaaS on customers' choice of the cloud for their choice of engine. Tessell differentiation includes up to 10 more IOPS for databases; a zero-data loss availability machine that protects data, makes the data available across regions, and provides time-travel capability for data cloning needs; a consumer-grade data consumption experience for developers and data owners; and enterprise-grade data governance and deployment models.

At Tessell, we aspire to Tessellate all types of enterprise data into the cloud. To begin with, we concentrate on structured data for three reasons. First and foremost, the current cloud services in this space are, in our opinion, half-baked. Second, this is where the majority of the money is being spent today and will continue to be spent in the future. Third, we've been living and breathing this space for over 20 years and are confident in our ability to solve interesting problems.","Python
Architecture
Java
Cloud Security
Database Development",https://www.instahyre.com/job-328274-principal-cloud-engineer-at-tessell-2-bangalore/
Engineersmind,Senior Software Engineer - Generative AI,Bangalore,Founded in 2016,50 - 200 employees,"Engineersmind works with creative minds and innovative ideas. After understanding the needs of our clients we bring our different domain expertise to work and plan the step-by-step process of the project development. We architect, build and scale leading-edge platforms that underpin the next breakthrough. With rich experience and advanced industry knowledge, we are eligible to cater to the different needs of our various clients. We harness the power of our consultancy and design talent, alongside our data expertise, to work out where we can provide value and address unique needs.

We help customers find revenue streams that range from incremental to disruptive, refreshing, and evolving, to fulfill customers' unmet needs, which might mean new products, expanded offerings, or an entirely different business model. Our integrated consulting teams - across business, experience, technology, and data - apply systems thinking mindset to get to the heart of our client's challenges, achieving balance and harmony in the overarching business system that leads to meaningful, sustained outcomes.","Generative AI
LLMs
Python
AWS
Kubernetes",https://www.instahyre.com/job-324688-senior-software-engineer-generative-ai-at-engineersmind-bangalore/
Impact Analytics,Senior Software Engineer - Backend,Bangalore,Founded in 2015,50 - 200 employees,"We are a 360-degree data-science solutions company, dedicated to serving our clients through a synthesis of business consulting, analytics services and products. We are a team of data scientists, management consultants and entrepreneurs with strong academic and business pedigree. Our core team includes alumni from top educational institutes such as Harvard, MIT, Columbia, IIT, IIM and top consulting firms such as McKinsey, BCG. Our expertise spans across multiple industries and 300+ projects with more than 70 years of cumulative experience between us. We bring the best of data science to your team. Our delivery model and experience allow us to help clients achieve data science excellence, but at a minimal cost.

At Impact Analytics, we conceptualize, develop and deploy advanced analytics products & services for data driven decision making. Our offerings span across forecasting, pricing and promotions management, consumer and marketing analytics, visualisation and reporting.","Python
Django
FastAPI
Flask
Data Structures",https://www.instahyre.com/job-328573-senior-software-engineer-backend-at-impact-analytics-bangalore/
Spare,SDET,Gurgaon,Founded in 2018,10 - 50 employees,"Spare is an open banking fintech provider. The company is licensed by the Central Bank of Bahrain as an Account Information Service Provider and Payment Initiation Service Provider (AISP/PISP). As a regulated open banking provider in the Middle East, Spare is the compass guiding people to unparalleled financial connectivity. Our versatile platform offers a comprehensive suite of services, including real-time account information and seamless payment initiation. Spare is also currently testing open banking services in Kuwait under the Central Bank of Kuwait sandbox and in KSA under the SAMA fin-tech regulatory sandbox.

We envision a world where seamless banking operations and financial inclusivity are not just dreams but reality for everyone. Our commitment is to enable our partners to drive change, enhance customer experiences, and shape the future of banking with agility, tranSparency, and trust. Our mission is straightforward yet profound: democratize finance. Utilizing the transformative power of open banking, we securely and swiftly connect businesses with their customers' financial data. This pivotal connection empowers our partners to design and deliver innovative, customer-centric products that augment financial well-being.","Python
Selenium
Appium",https://www.instahyre.com/job-313469-sdet-at-spare-gurgaon/
JP Morgan,Python Developer,Mumbai,Founded in 1900,More than 1000 employees,"Our presence in India began in 1922 when a heritage firm took an ownership interest in a merchant bank in Calcutta. Today, we provide clients in India a comprehensive range of corporate and investment banking services. Our global service centers in Mumbai, Bangalore and Hyderabad support operations globally.

We have operated in Asia Pacific since 1872 and today are present across 17 markets in the region. Local corporations and institutions, multinationals, governments and private clients rely on us for market-leading financial services - a confidence bred from our strength and ability to deliver integrated services across the Corporate & Investment Bank, Asset Management and the Private Bank.

In Asia Pacific, we are committed to helping promote economic growth and economic inclusion through our key philanthropic initiatives in the areas of workforce readiness, small business development and financial capability. Our investments aim to increase the number of quality jobs created for the underserved individuals and communities, helping small businesses become more sustainable, as well as assisting marginalized people in gaining access to affordable financial products so that they can become more financially secure. This shared commitment to the community drives our Foundation's giving and employee engagement and volunteering activities across the region.

J. P. Morgan is a global leader in financial services, offering solutions to the world's most important corporations, governments and institutions in more than 100 countries. The Firm and its Foundation give approximately US$200million annually to nonprofit organizations around the world. We also lead volunteer service activities for employees in local communities by utilizing our many resources, including those that stem from access to capital, economies of scale, global reach and expertise.","Big Data
Python",https://www.instahyre.com/job-328635-python-developer-at-jp-morgan-2-mumbai/
Blend360,Data Engineering Manager,Hyderabad,Founded in 2005,200 - 500 employees,"At Blend360 it is all about advancing marketing capabilities and performance. We are organized to help marketers in the way they need help, differentiated from the traditional, in 3 ways: Our passion and expertise are focused where marketers need the most help: Digital Talent, Data & Analytics, and Technology, Our blended delivery approach allows us to engage as an insourced or outsourced solution to help drive growth and hit goals, and Our unique buying model allows marketers to buy what they want in the way they want it.

We partner with marketing and analytics teams to assess, define, and build the right strategies and capabilities to best utilize data and addressable media opportunities. Our focus is on solutions that power organization to engage customers in new and innovative ways. We re-envision and re-define strategies to drive growth.","Spark
Big Data
Python
SQL
Scala",https://www.instahyre.com/job-309145-data-engineering-manager-at-blend360-hyderabad/
Sequoia Group,"SDE III - Backend, Python / Golang",Bangalore,Founded in 2001,200 - 500 employees,"Sequoiais the pioneer in total people investment. We help companies master the practice of driving outcomes that matter through their total rewards. With expert guidance and the Sequoia People Platform, we connect our offerings for compensation, benefits, wellbeing, HR and payroll, and business protection to a higher strategic outcome, enabling companies to manage theirglobal people investments, reduce administrative burdens, and reach a deeper level of employee care and support. For more than 20 years, people-driven companies have turned to Sequoia to unlock the full potential of their business and global workforce. Visit Sequoia.com to learn more.","Django
Flask
MongoDB
Python",https://www.instahyre.com/job-185456-sde-iii-backend-python-golang-at-sequoia-group-bangalore/
SarvaGram,Senior Data Engineer,Pune,Founded in 2018,More than 1000 employees,"SarvaGram is building India's first household centric, data-science led high-tech high-touch' financial and productivity services distribution platform to meet the growing aspirations of rural India.

SarvaGram has an in-depth understanding of the ground reality of rural households, their balance sheets and multiple income streams, and consequently views households as cohesive economic units. This approach de-risks the household, and consequently SarvaGram's business model through engagement with complete household's cash flows and sources of income/asset creation.

SarvaGram drives long term brand loyalty by offering multiple products to multiple customers, customised to the needs of individual households. This allows SarvaGram to capture a higher share of household wallets, and low transaction value for SarvaGram.

SarvaGram's unique distribution platform leverages technology and data science to empower a highly nimble on ground presence. The platform leverages the company's location selection criteria, critical field-based market insights, micro-segmentation of households and proprietary underwriting algorithms that factor in frequency, variability, and resilience of incomes at household levels.

This high-touch high-tech' distribution model paves the path to a non-linear and profitable scale up journey, driven by powerful network-effects in a rural economy that remains largely untapped. The whitespace in the context of SarvaGram is expansive - the TAM exceeds $10 Tn over the next decade in context of rural households.","Python
PySpark
ETL
Data Warehousing
SQL",https://www.instahyre.com/job-328677-senior-data-engineer-at-sarvagram-pune/
Atlassian,Senior Software Engineer - BE,Work From Home,Founded in 2002,More than 1000 employees,"We're a team of 7000+ Atlassians supporting an international group of 250,000+ customers. We build tools like Jira, Confluence, Bitbucket, and Trello to help teams across the world become more nimble, creative, and aligned.

At Atlassian, our future is rooted in helping teams unleash their potential by building tools that inspire collaboration and facilitate growth interested in what's next? We're looking for people who believe that we can accomplish so much more together than apart.

Check out our open roles athttps: //www. Atlassian.com/company/careers/all-jobs

Work is wherever you are

Atlassian believes the future of work is distributed. So whatever your preference - working from home, an office, or in between - you choose the place that's best for your work and your lifestyle.

Our office is in Bengaluru, but we offer flexibility for eligible candidates to work remotely across India.

Want to work from a different place this summer? Go for it! You can stay and work outside your designated work location for up to 90 days a year. And our digital-first culture means we default to virtual meetings and place greater emphasis on async communications.",".NET
C
C++
Golang
Java
Node.js
Python
C#
Spring",https://www.instahyre.com/job-327848-senior-software-engineer-be-at-atlassian-work-from-home/
Amazon Entertainment,SDE 3,Bangalore,Founded in 1994,More than 1000 employees,"Amazon Studios brings bold and innovative series and films from top tier and up-and-coming creators to customers in over 200 countries and territories. Original productions range from daring and timely subject matter such as Amy Sherman-Palladino's award-winning The Marvelous Mrs. Maisel to the action-packed Tom Clancy's Jack Ryan and critically hailed man in the high castleIn film, Amazon Studios produces and acquires original movies for theatrical release and early window distribution exclusively for Amazon Prime members.

At the 2017 Academy awards, amazon studios became the first streaming service to win Oscars for Manchester by the Sea (Best Screenplay, Kenneth Lonergan and best actor, casey Affleck) and The Salesman (Best Foreign Film). Recent notable releases include beautiful boy starring steve Carell and Timothe Chalamet and the academy award nominated cold warUpcoming 2019 movie titles include Nisha Ganatra's Late Night, Paul Downs Colaizzo's Brittany Runs a Marathon, Scott Z. Burns' The Report, Alma Har'el's Honey Boy, Tom Harper's The Aeronauts, Benedict Andrews' against all enemies and many more.

Prime video offers thousands of movies and TV shows, including popular licensed and self-published content plus critically-acclaimed and award-winning prime originals like the grand tour, the Marvelous Mrs. Maisel and the tick, amazon original movies such as academy award-winning Manchester by the sea, the big sick and the salesman and kids series, tumble leaf, available for unlimited streaming as part of an amazon prime membership.","C++
Golang
Java
Python
Spring",https://www.instahyre.com/job-328291-sde-3-at-amazon-entertainment-bangalore/
Raccoon AI,Founding Engineer,Bangalore,Founded in 2024,0 - 10 employees,"At Raccoon AI, we're building a foundational large action model (LAM) that can see, understand and interact with apps like humans do. Our flagship product is a copilot that interfaces with the lam to automate multistep tasks, hyper-personalize app experiences with a chat-based interface, and provide unique, context-aware interactions. Operating in the b2b saas model within the ecommerce industry, Raccoon AI aims to enhance user engagement, reduce drop-offs, and accelerate customer purchases through innovative AI solutions powered by the LAM.","Android
Golang
iOS
JavaScript
Python",https://www.instahyre.com/job-326950-founding-engineer-at-raccoon-ai-bangalore/
StrategicERP,Head of Technology,Mumbai,Founded in 2005,200 - 500 employees,"At StrategicERP, we offer enterprise resource planning (ERP) software solutions designed specifically for the real estate and construction industries. A web-based application built by IITians on a proprietary J2FX framework, it is a single-window solution to automate all business transactions, ensuring optimum resource utilization and business process management.

We've built our software on modern technology platforms such as Java, Angular, and PostgreSQL, making it easy to use and accessible from anywhere on any device. We're also a cloud-based solution, which means that all our clients' data is securely stored in the cloud and can be accessed from anywhere with an internet connection. With StrategicERP, clients can manage multiple projects, track inventory and materials, manage sales and marketing campaigns, and maintain customer relationships, all in one platform. Our esteemed client list includes Phoenix Group, Paradise Group, House Of Hiranandani, DS Max Properties, Hombale Group and Vishwa Samudra, among 700 others.","Java
PostgreSQL
Python",https://www.instahyre.com/job-324367-head-of-technology-at-strategicerp-mumbai/
Interview Kickstart,Staff Engineer,Work From Home,Founded in 2014,50 - 200 employees,"The name Interview Kickstart might have given you a clue. But here's the 30 second elevator pitch -
Interviews can be hard. And when it comes to the top tech companies like Google, Facebook, Netflix etc., they can be downright brutal.

Most candidates don't make it simply because they don't prepare well enough. Interview Kickstart (IK) helps candidates nail the toughest tech interviews.

At IK, current and former hiring managers at these top companies take candidates through an intense 2 month prep course to make them completely ready to crack the toughest interviews.

Is the company doing well?

If by well you mean growing rapidly and profitably, then hell, yes! We have grown 5 times in the last 2 years, and have revenues which are higher than ed-tech companies which have 10 times more employees. All this, with barely any marketing.

Wait, what?

Yup. Almost all of the growth came through word-of-mouth, with barely any SEO, content marketing or advertising. We know it sounds crazy, but it's true. That's how good our offering is.

But now that we know we have a great product, and are doing very well financially, it's time to start gunning the growth engine.","Django
Machine Learning
MySQL
Python",https://www.instahyre.com/job-328107-staff-engineer-at-interview-kickstart-work-from-home/
Pure Storage,SDET,Bangalore,Founded in 2009,More than 1000 employees,"Pure Storage helps innovators build a better world with data. Pure's data solutions enable SaaS companies, cloud service providers, and enterprise and public sector customers to deliver real-time, secure data to power their mission-critical production, DevOps, and modern analytics environments in a multi-cloud environment.

One of the fastest-growing enterprise IT companies in history, Pure Storage enables customers to quickly adopt next-generation technologies, including artificial intelligence and machine learning, to help maximize the value of their data for competitive advantage. And with a Satmetrix-certified NPS customer satisfaction score in the top one percent of B2B companies, Pure's ever-expanding list of customers is among the happiest in the world.","Golang
Kubernetes
Linux
NAS
NFS
Python
SAN
Storage",https://www.instahyre.com/job-320800-sdet-at-pure-storage-bangalore/
